company_name,company_number,status,type,incorporated_date,address,description
FINTECH LTD,10184221,active,ltd,2016-05-17,"32-33 Cartwright Gardens, London, London, United Kingdom, WC1H 9EH",10184221 - Incorporated on 17 May 2016
FINTECH LIMITED,09770629,dissolved,ltd,2015-09-10,"18 Cross Firs Street, Longwood, Huddersfield, West Yorkshire, United Kingdom, HD3 4EN",09770629 - Dissolved on 17 May 2016
BETACRAFT LTD,08780991,dissolved,ltd,2013-11-19,"33 Abbots Way, Beckenham, Kent, BR3 3RJ",08780991 - Dissolved on 17 January 2017
FINTECH LTD,07793276,dissolved,ltd,2011-09-30,"10 Watermark Way, Foxholes Business Park, Hertford, Hertfordshire, United Kingdom, SG13 7TZ",07793276 - Dissolved on 1 April 2014
FINTECH LIMITED,01601980,dissolved,ltd,1981-12-04,"Jw Hinks Chartered Accountants, 19 Highfield Road, Edgbaston, Birmingham",01601980 - Dissolved on 15 March 2011
ARAXIS SEARCH LTD,16518051,active,ltd,2025-06-13,"13 Spring Wood Crescent, Bramhope, Leeds, England, LS16 9GE",16518051 - Incorporated on 13 June 2025
FINTECH ACCOUNTANTS LTD,16338179,active,ltd,2025-03-24,"318a Normanton Road, Derby, England, DE23 6WE",16338179 - Incorporated on 24 March 2025
FINTECH ACCOUNTING SOLUTIONS LTD,SC607990,active,ltd,2018-09-13,"64a Old Burdiehouse Road, Old Burdiehouse Road, Edinburgh, Scotland, EH17 8BH",SC607990 - Incorporated on 13 September 2018
FINTECH ACQUISITION LIMITED,15601078,active,ltd,2024-03-28,"Mishcon De Reya Africa House, 70 Kingsway, London, United Kingdom, WC2B 6AH",15601078 - Incorporated on 28 March 2024
FINTECH ADVISOR LIMITED,13042184,active,ltd,2020-11-25,"19 Haddon Street, Ilkeston, England, DE7 8LD",13042184 - Incorporated on 25 November 2020
FINTECH ADVISORY LIMITED,03322714,active,ltd,1997-02-21,"26 St James's Street, London, SW1A 1HA",03322714 - Incorporated on 21 February 1997
FINTECH ADVISORY PARTNERS LTD,15730859,active,ltd,2024-05-20,"2 Airthrie Road, Ilford, England, IG3 9QU",15730859 - Incorporated on 20 May 2024
FINTECH ADVISORY SERVICES LIMITED,NI696887,active,ltd,2023-05-04,"251 Belt Road, Londonderry, Northern Ireland, BT47 2FL",NI696887 - Incorporated on 4 May 2023
FINTECH AGGREGATOR LIMITED,10653147,active,ltd,2017-03-06,"C/O Ajm Tax Consulting, 11 Blackheath Village, Blackheath, London, United Kingdom, SE3 9LA",10653147 - Incorporated on 6 March 2017
FINTECH AI FUSION LTD,16234355,active,ltd,2025-02-06,"15a Anchor Road Aldridge, Walsall, United Kingdom, WS9 8PT",16234355 - Incorporated on 6 February 2025
FINTECH ALLIANCE LIMITED,12003179,active,private-limited-guarant-nsc,2019-05-17,"The Chestnuts Brewers End, Takeley, Bishop's Stortford, United Kingdom, CM22 6QJ",12003179 - Incorporated on 17 May 2019
FINTECH ALLIANCE UK LTD,11779543,active,ltd,2019-01-21,"The Chestnuts Brewers End, Takeley, Bishop's Stortford, England, CM22 6QJ",11779543 - Incorporated on 21 January 2019
